source_search_key,canonical_spec_or_reference,implementation_target,validation_gate,status
DRIVER-ADAPTOR-TOOL-CURRENT-REPO-INTEGRATION-CLOSURE,project/drivers/fixtures/driver_adaptor_current_repo_integration/public_proof/README.md,Coordinated driver adaptor tool build test benchmark and drift closure,DCT_P6_FINAL_CLEAN,complete
SCRATCHBIRD_DRIVER_SOURCE_IMPORT_MANIFEST,project/drivers/IMPORT_MANIFEST.md,Imported driver adaptor and tool source boundary and category map,DCT_P0_SOURCE_INVENTORY_READY,complete
DRIVERS_LAYOUT_README,project/drivers/README.md,Current repo driver adaptor tool layout and no-private-engine-internals policy,DCT_P0_SOURCE_INVENTORY_READY;DCT_P6_FINAL_CLEAN,complete
DRIVER_SOURCE_TREE,project/drivers/driver/,Actual driver source build test path realignment and conformance,DCT_P2_ALL_DRIVERS_READY,complete
ADAPTOR_SOURCE_TREE,project/drivers/adaptor/,Adaptor source build test path realignment and integration contracts,DCT_P3_ALL_ADAPTORS_READY,complete
TOOL_SOURCE_TREE,project/drivers/tool/,Tool source build test path realignment and CLI contract coverage,DCT_P4_TOOLS_READY,complete
DRIVER_IGNORE_RULES,ignore-file,Driver generated artifact cache dependency and binary output exclusions,DCT_P0_STATIC_HYGIENE_READY;DCT_P1_BUILD_SUBSTRATE_READY,complete
EXECUTION_PLAN10_BENCHMARK_REFERENCE,docs/reference/legacy_execution_plan_10_performance_parity/README.md,Execution_Plan 10 benchmark harness current driver path and comparison outputs,DCT_P0_BENCHMARK_READY;DCT_P5_CONFORMANCE_AND_BENCHMARK_READY,complete
EXECUTION_PLAN10_RUNNER_SCRIPT,docs/reference/legacy_execution_plan_10_performance_parity/benchmark_harness/scripts/run-benchmark.sh,Current repo Python driver path resolution for benchmark execution,DCT_P0_BENCHMARK_READY;DCT_P5_CONFORMANCE_AND_BENCHMARK_READY,complete
EXECUTION_PLAN10_DIALECT_RUNNER,docs/reference/legacy_execution_plan_10_performance_parity/benchmark_harness/stress-tests/runners/dialect_stress_runner.py,Stress runner current repo Python driver import behavior,DCT_P0_BENCHMARK_READY;DCT_P5_CONFORMANCE_AND_BENCHMARK_READY,complete
CURRENT_REPO_CMAKE_ROOT,project/CMakeLists.txt,CTest and build option integration for driver adaptor tool gates,DCT_P1_BUILD_SUBSTRATE_READY;DCT_P6_FINAL_CLEAN,complete
CURRENT_SERVER_TARGET,project/src/server/CMakeLists.txt,CTest server fixture target and runtime lifecycle for driver integration tests,DCT_P0_SERVER_FIXTURE_READY;DCT_P5_CONFORMANCE_AND_BENCHMARK_READY,complete
DRIVER_BUILD_ARTIFACT_POLICY,project/drivers/fixtures/driver_adaptor_current_repo_integration/public_proof/artifacts/BUILD_ARTIFACT_ISOLATION_POLICY.md,Build output dependency cache package and benchmark artifact redirection under build/,DCT_P0_ARTIFACT_ISOLATION_READY,complete
DRIVER_PATH_REALIGNMENT_BACKLOG,project/drivers/fixtures/driver_adaptor_current_repo_integration/public_proof/artifacts/PATH_REALIGNMENT_BACKLOG.csv,Old path and absolute path remediation inventory,DCT_P0_PATH_REALIGNMENT_READY,complete
DRIVER_COMMON_CONFORMANCE_MATRIX,project/drivers/fixtures/driver_adaptor_current_repo_integration/public_proof/artifacts/DRIVER_COMMON_CONFORMANCE_MATRIX.csv,Common cross-driver conformance requirements,DCT_P0_CONFORMANCE_READY;DCT_P5_CONFORMANCE_AND_BENCHMARK_READY,complete
DRIVER_CTEST_GATE_MATRIX,project/drivers/fixtures/driver_adaptor_current_repo_integration/public_proof/artifacts/CTEST_DRIVER_GATE_MATRIX.csv,Per-driver adaptor tool CTest labels targets skip policy and evidence,DCT_P0_CTEST_MATRIX_READY;DCT_P6_FINAL_CLEAN,complete
