audit_id,source_audit_item,severity,current_class,required_action,owner,spec_target,implementation_target,validation_gate,status
IA-001,MCP_HELLO extra capability keys,high,accepted_and_specified,Back-port keys and unknown-key handling to MCP/native startup specs,wire_spec_agent,public_contract_snapshot,project/src/manager,DSR_G05,completed
IA-002,Direct-native bypass server_flags difference,high,accepted_and_specified,Specify direct-native bypass behavior and flags or guard from public negotiation,wire_spec_agent,public_contract_snapshot,project/src/manager,DSR_G05,completed
IA-003,MCP_DB_CONNECT TOKEN auth/client_intent/connection_profile/MCP1,high,accepted_and_specified,Register constants and connect profile semantics,wire_spec_agent,public_contract_snapshot,project/src/manager,DSR_G05,completed
IA-004,SBWP client-wire Ping/Pong opcodes,high,accepted_and_specified,Back-port byte opcodes and timeout semantics to native wire session spec,wire_spec_agent,public_contract_snapshot,project/src/parsers,DSR_G05,completed
IA-005,OIDC/JWT bearer validator family,high,accepted_and_specified,Register method/provider with verifier-boundary and production support state,security_agent,public_contract_snapshot;public_contract_snapshot,project/src/engine/internal_api/security,DSR_G04,completed
IA-006,SAML validator family,high,accepted_and_specified,Register method/provider with verifier-boundary and production support state,security_agent,public_contract_snapshot;public_contract_snapshot,project/src/engine/internal_api/security,DSR_G04,completed
IA-007,RADIUS validator family,high,accepted_and_specified,Register method/provider with verifier-boundary and production support state,security_agent,public_contract_snapshot;public_contract_snapshot,project/src/engine/internal_api/security,DSR_G04,completed
IA-008,WebAuthn/FIDO2 and factor_chain validator families,high,accepted_and_specified,Register method/provider and MFA envelope requirements,security_agent,public_contract_snapshot;public_contract_snapshot,project/src/engine/internal_api/security,DSR_G04,completed
IA-009,Workload identity/SPIFFE validator family,high,accepted_and_specified,Register method/provider with verifier-boundary and production support state,security_agent,public_contract_snapshot;public_contract_snapshot,project/src/engine/internal_api/security,DSR_G04,completed
IA-010,PEER/ident credential-evidence bypass,high,guarded_until_specified,Fail closed unless verified OS peer credential evidence is present,security_agent,public_contract_snapshot;public_contract_snapshot,project/src/engine/internal_api/security/auth_provider_model.cpp,DSR_G01,completed
IA-011,20+ provider families versus smaller spec registry,high,accepted_and_specified,Back-port all code-visible families or guard unsupported families,security_agent,public_contract_snapshot;public_contract_snapshot,project/src/engine/internal_api/security,DSR_G04,completed
IA-012,Multi-resultset event family,high,accepted_and_specified,Specify MultiResultEnvelope and reconcile chapter 10 invariant,wire_spec_agent,public_contract_snapshot;public_contract_snapshot,project/src/server,DSR_G03,completed
IA-013,Bulk-insert per-row reject reporting,high,accepted_and_specified,Specify BulkRejectStreamEvent fields and redaction digest semantics,wire_spec_agent,public_contract_snapshot,project/src/server,DSR_G03,completed
IA-014,ParameterDescription byte layout,high,accepted_and_specified,Specify current layout and extension slots,datatype_metadata_agent,public_contract_snapshot,project/src/parsers,DSR_G06,completed
IA-015,SBLR operation IDs missing from spec registry,high,accepted_and_specified,Back-port implementation matrix into spec registry, spec_registry_agent,public_contract_snapshot,project/src/engine/internal_api/SBLR_API_OPERATION_MATRIX.yaml,DSR_G03,completed
IA-016,DISCONNECT accepted payload,medium,accepted_and_specified,Specify disconnect acknowledgement payload,wire_spec_agent,public_contract_snapshot,project/src/manager,DSR_G05,completed
IA-017,POOL_KILL worker-id semantics,medium,accepted_and_specified,Reconcile worker_id versus connection_id terminology,wire_spec_agent,public_contract_snapshot,project/src/listener,DSR_G05,completed
IA-018,SBPS DisconnectNotice,medium,accepted_and_specified,Specify server-internal disconnect notice and client-facing mapping,wire_spec_agent,public_contract_snapshot,project/src/server,DSR_G05,completed
IA-019,Pool drain bare TCP refusal,medium,accepted_and_specified,Specify drain refusal frame or replace bare string with structured diagnostic,wire_impl_agent,public_contract_snapshot,project/src/listener,DSR_G07,completed
IA-020,SCRAM-SHA-512 registered without verifier storage,medium,guarded_until_specified,Register support state and fail closed unless verifier storage exists,security_agent,public_contract_snapshot,project/src/engine/internal_api/security,DSR_G04,completed
IA-021,Channel binding status-only check,medium,accepted_and_specified,Specify TLS-version-aware binding rules and implement check,security_agent,public_contract_snapshot,project/src/server,DSR_G04,completed
IA-022,LDAP StartTLS-required behavior,medium,accepted_and_specified,Specify StartTLS bind/search/referral behavior and current constraints,security_agent,public_contract_snapshot,project/src/engine/internal_api/security,DSR_G04,completed
IA-023,Proxy assertion provider family,medium,accepted_and_specified,Register provider and manager-proxy bootstrap semantics,security_agent,public_contract_snapshot,project/src/engine/internal_api/security,DSR_G04,completed
IA-024,MFA option envelopes,medium,accepted_and_specified,Specify MFA evidence envelope and challenge flow,security_agent,public_contract_snapshot,project/src/engine/internal_api/security,DSR_G04,completed
IA-025,LOB locator types without SB-native wire ops,medium,accepted_and_specified,Specify native LOB locator/chunk/free protocol or keep native_future refused,wire_spec_agent,public_contract_snapshot,project/src/core/datatypes;project/src/parsers,DSR_G06,completed
IA-026,optimizer_explain_v1 schema,medium,accepted_and_specified,Pin optimizer explain payload schema,wire_spec_agent,public_contract_snapshot,project/src/engine/optimizer,DSR_G03,completed
IA-027,Cancel cleanup without SQLSTATE 57014,medium,accepted_and_specified,Specify cleanup contract and SQLSTATE mapping then implement mapping,wire_impl_agent,public_contract_snapshot,project/src/server,DSR_G07,completed
IA-028,Drain finality inside cursor stream,medium,accepted_and_specified,Specify top-level state-change notification and stream finality,wire_spec_agent,public_contract_snapshot,project/src/server,DSR_G05,completed
IA-029,RowDescription nullable only no JDBC flag bits,medium,accepted_and_specified,Specify metadata bitmap and implement flags,datatype_metadata_agent,public_contract_snapshot,project/src/parsers,DSR_G06,completed
